Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Saturday,Unknown,Male,High school,Owner,5-10yr,Public (13?45 seats),Organization,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,3,No distancing,Slight Injury,Night
Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Morning
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Night
Sunday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,3,Moving Backward,Slight Injury,Night
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,Unknown,Female,Junior high school,Owner,5-10yr,Automobile,Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,3,Driving carelessly,Slight Injury,Night
Wednesday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,No distancing,Slight Injury,Afternoon
Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Morning
Tuesday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,2,Overtaking,Slight Injury,Evening
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Wednesday,Unknown,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Overturning,Slight Injury,Night
Thursday,Unknown,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,Changing lane to the right,Slight Injury,Morning
Monday,18-30,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Monday,Unknown,Male,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,No distancing,Slight Injury,Morning
Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Serious Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Serious Injury,Morning
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Night
Friday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Night
Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,3,Changing lane to the left,Slight Injury,Afternoon
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Other,3,Changing lane to the right,Slight Injury,Night
Saturday,Over 51,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Driving carelessly,Slight Injury,Night
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,3,No distancing,Slight Injury,Evening
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,No priority to vehicle,Slight Injury,Morning
Friday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Morning
Saturday,18-30,Male,High school,Owner,Above 10yr,Lorry (41?100Q),Owner,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Getting off,3,Driving carelessly,Slight Injury,Morning
Thursday,Unknown,Male,Writing & reading,Owner,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Tuesday,Unknown,Male,Above high school,Employee,Above 10yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,2,No priority to vehicle,Slight Injury,Night
Monday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Monday,31-50,Male,Junior high school,Employee,No Licence,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Driving carelessly,Slight Injury,Morning
Tuesday,Unknown,Female,Illiterate,Owner,1-2yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Night
Tuesday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Evening
Tuesday,Unknown,Male,Unknown,Owner,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Tuesday,31-50,Male,Elementary school,Owner,Above 10yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Tuesday,Unknown,Male,Writing & reading,Owner,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Stationwagen,Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Driving carelessly,Slight Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,3,Driving under the influence of drugs,Serious Injury,Morning
Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Other,3,Driving carelessly,Serious Injury,Morning
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Organization,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Other,3,No distancing,Slight Injury,Night
Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,3,No priority to vehicle,Slight Injury,Evening
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,3,No priority to vehicle,Slight Injury,Morning
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,3,No priority to vehicle,Serious Injury,Evening
Friday,Unknown,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Sunday,31-50,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
